tag	cell	method	true	info	mc1	mc2	args
sp_qw_qa_l0.03_ep16_completion	qw_qa	sparse	0.9500	0.6700	0.5500	0.7544	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion
sp_qw_qa_l0.03_ep16_all	qw_qa	sparse	1.0000	0.3400	0.6000	0.7712	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=all
sp_qw_qa_l0_ep16_comp_ila1	qw_qa	sparse	0.9700	0.9100	0.6200	0.7702	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_qw_qa_l0.003_ep16_comp_ila1	qw_qa	sparse	0.9700	0.8700	0.6400	0.7847	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_qw_qa_l0.01_ep16_comp_ila1	qw_qa	sparse	0.9700	0.8600	0.6300	0.7862	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_qw_qa_l0.03_ep16_comp_ila1	qw_qa	sparse	0.9300	0.8600	0.6300	0.7882	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
iti_qw_qa_a8	qw_qa	iti	0.8000	0.7500	0.3700	0.6153	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=8
iti_qw_qa_a15	qw_qa	iti	0.7400	0.6800	0.3100	0.5228	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15
iti_qw_qa_a22	qw_qa	iti	0.7500	0.6800	0.2700	0.4748	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=22
iti_qw_qa_a30	qw_qa	iti	0.5800	0.1500	0.0000		method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=30
iti_qw_qa_k24	qw_qa	iti	0.7500	0.6900	0.3600	0.5766	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=24 iti_scale=15
iti_qw_qa_k96	qw_qa	iti	0.8800	0.5300	0.3300	0.5392	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=96 iti_scale=15
iti_qw_qa_k128	qw_qa	iti	0.9300	0.4800	0.3300	0.5440	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=128 iti_scale=15
iti_qw_qa_sigpf	qw_qa	iti	0.7500	0.6500	0.3200	0.5542	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15 iti_sigma_position=prompt_final
sp_qw_ch_l0_ep8_completion	qw_ch	sparse	0.9600	0.9400	0.5600	0.6978	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=completion
sp_qw_ch_l0_ep8_all	qw_ch	sparse	0.9700	0.9400	0.6000	0.7660	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=all
sp_qw_ch_l0_ep16_completion	qw_ch	sparse	0.9800	0.9300	0.5900	0.7652	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion
sp_qw_ch_l0_ep16_all	qw_ch	sparse	0.9800	0.9400	0.6200	0.8027	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_qw_ch_l0.003_ep8_completion	qw_ch	sparse	0.9700	0.9500	0.5400	0.7175	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=completion
