tag	cell	method	stage	metrics
cap_gen_ll_ch_sp_ll_ch_l0_ep16_completion	ll_ch	sparse	generative	MMLU/CHOICE/ACCURACY: 0.1220 MMLU/CHOICE/STDERR: 0.0104 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1700 ARC_CHALLENGE/CHOICE/STDERR: 0.0119
cap_fxmm_ll_ch_sp_ll_ch_l0_ep16_all	ll_ch	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_sp_ll_ch_l0_ep16_all	ll_ch	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4531 ARC_CHALLENGE/ACC_NORM: 0.4565 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.4491 WIKITEXT/BYTE_PERPLEXITY: 1.6478 WIKITEXT/BITS_PER_BYTE: 0.7205
cap_ctmm_ll_ch_sp_ll_ch_l0_ep16_all	ll_ch	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_sp_ll_ch_l0_ep16_all	ll_ch	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3891 ARC_CHALLENGE/ACC_NORM: 0.3925 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.4491 WIKITEXT/BYTE_PERPLEXITY: 1.6478 WIKITEXT/BITS_PER_BYTE: 0.7205
cap_gen_ll_ch_sp_ll_ch_l0_ep16_all	ll_ch	sparse	generative	MMLU/CHOICE/ACCURACY: 0.1350 MMLU/CHOICE/STDERR: 0.0108 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1950 ARC_CHALLENGE/CHOICE/STDERR: 0.0125
cap_fxmm_ll_ch_sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4420 ARC_CHALLENGE/ACC_NORM: 0.4454 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 20.9539 WIKITEXT/BYTE_PERPLEXITY: 1.7664 WIKITEXT/BITS_PER_BYTE: 0.8208
cap_ctmm_ll_ch_sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3729 ARC_CHALLENGE/ACC_NORM: 0.3686 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 20.9539 WIKITEXT/BYTE_PERPLEXITY: 1.7664 WIKITEXT/BITS_PER_BYTE: 0.8208
cap_gen_ll_ch_sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	generative	MMLU/CHOICE/ACCURACY: 0.0350 MMLU/CHOICE/STDERR: 0.0058 ARC_CHALLENGE/CHOICE/ACCURACY: 0.0250 ARC_CHALLENGE/CHOICE/STDERR: 0.0049
cap_fxmm_ll_ch_sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4437 ARC_CHALLENGE/ACC_NORM: 0.4428 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 18.2272 WIKITEXT/BYTE_PERPLEXITY: 1.7209 WIKITEXT/BITS_PER_BYTE: 0.7832
cap_ctmm_ll_ch_sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3805 ARC_CHALLENGE/ACC_NORM: 0.3754 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 18.2272 WIKITEXT/BYTE_PERPLEXITY: 1.7209 WIKITEXT/BITS_PER_BYTE: 0.7832
cap_gen_ll_ch_sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	generative	MMLU/CHOICE/ACCURACY: 0.0780 MMLU/CHOICE/STDERR: 0.0085 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1050 ARC_CHALLENGE/CHOICE/STDERR: 0.0097
