cell	method	tag	stage	metric	value	delta_vs_unsteered
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6733	+0.0508
qw_ch	unsteered	cap_ctaw_qw_ch_uns	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6225	
qw_ch	iti	cap_ctaw_qw_ch_iti_qw_ch_k96	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6089	+0.0694
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6340	+0.0945
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6087	+0.0692
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5947	+0.0552
qw_ch	unsteered	cap_ctaw_qw_ch_uns	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5395	
qw_ch	iti	cap_ctaw_qw_ch_iti_qw_ch_k96	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.7191	+2.6719
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	13.8161	+3.7689
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.7099	+2.6627
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.1300	+2.0828
qw_ch	unsteered	cap_ctaw_qw_ch_uns	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	10.0472	
qw_ch	iti	cap_ctmm_qw_ch_iti_qw_ch_k96	loglik-ct-mmlu	MMLU/ACC	0.6068	-0.0932
qw_ch	sparse	cap_ctmm_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-mmlu	MMLU/ACC	0.6693	-0.0307
qw_ch	sparse	cap_ctmm_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-mmlu	MMLU/ACC	0.6889	-0.0111
qw_ch	sparse	cap_ctmm_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-mmlu	MMLU/ACC	0.6884	-0.0116
qw_ch	unsteered	cap_ctmm_qw_ch_uns	loglik-ct-mmlu	MMLU/ACC	0.7000	
qw_ch	iti	cap_fxaw_qw_ch_iti_qw_ch_k96	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5077	-0.0188
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5009	-0.0256
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.4966	-0.0299
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5128	-0.0137
qw_ch	unsteered	cap_fxaw_qw_ch_uns	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5265	
qw_ch	iti	cap_fxaw_qw_ch_iti_qw_ch_k96	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5427	-0.0076
